fare_id,fare
M_F_1,12.0
M_F_2,14.0
M_F_3,16.0
M_F_4,18.0
M_F_5,20.0
M_F_6,22.0
M_F_7,23.0
M_F_8,25.0
M_F_9,27.0
M_F_10,30.0
M_F_11,33.0
M_F_12,36.0
M_F_13,39.0
M_F_14,41.0
M_F_15,44.0
M_F_16,46.0
M_F_17,49.0
M_F_18,51.0
M_F_19,54.0
M_F_20,55.0
M_F_21,57.0
M_F_22,59.0
M_F_23,61.0
M_F_24,63.0
M_F_25,66.0
M_F_26,68.0
M_F_27,70.0
M_F_28,72.0
M_F_29,74.0
M_F_30,77.0
M_F_31,78.0
M_F_32,80.0
M_F_33,84.0
M_F_34,87.0
M_F_35,90.0
M_F_36,94.0
M_F_37,87.0
M_F_38,83.0
M_F_39,82.0
M_F_40,80.0
M_F_41,77.0
M_F_42,75.0
M_F_43,74.0
M_F_44,72.0
M_F_45,74.0
M_F_46,74.0
M_F_47,72.0
M_F_48,70.0
M_F_49,68.0
M_F_50,66.0
M_F_51,65.0
M_F_52,63.0
M_F_53,59.0
M_F_54,61.0
M_F_55,63.0
M_F_56,65.0
M_F_57,67.0
M_F_58,69.0
M_F_59,71.0
M_F_60,73.0
M_F_61,75.0
M_F_62,73.0
M_F_63,76.0
M_F_64,80.0
M_F_65,80.0
M_F_66,83.0
M_F_67,85.0
M_F_68,88.0
M_F_69,67.0
M_F_70,69.0
M_F_71,73.0
M_F_72,75.0
M_F_73,79.0
M_F_74,79.0
M_F_75,77.0
M_F_76,74.0
M_F_77,78.0
M_F_78,80.0
M_F_79,79.0
M_F_80,75.0
M_F_81,73.0
M_F_82,76.0
M_F_83,78.0
M_F_84,74.0
M_F_85,72.0
M_F_86,67.0
M_F_87,65.0
M_F_88,61.0
M_F_89,58.0
M_F_90,55.0
M_F_91,73.0
M_F_92,75.0
M_F_93,77.0
M_F_94,79.0
M_F_95,83.0
M_F_96,84.0
M_F_97,87.0
M_F_98,90.0
M_F_99,92.0
M_F_100,95.0
M_F_101,97.0
M_F_102,99.0
M_F_103,102.0
M_F_104,104.0
M_F_105,107.0
M_F_106,110.0
M_F_107,66.0
M_F_108,69.0
M_F_109,70.0
M_F_110,73.0
M_F_111,76.0
M_F_112,78.0
M_F_113,82.0
