fare_id,origin_id,destination_id
M_F_1,M_P_1,M_P_2
M_F_2,M_P_1,M_P_3
M_F_3,M_P_1,M_P_4
M_F_4,M_P_1,M_P_5
M_F_5,M_P_1,M_P_6
M_F_6,M_P_1,M_P_7
M_F_7,M_P_1,M_P_8
M_F_8,M_P_1,M_P_9
M_F_9,M_P_1,M_P_10
M_F_10,M_P_1,M_P_11
M_F_11,M_P_1,M_P_12
M_F_12,M_P_1,M_P_13
M_F_13,M_P_1,M_P_14
M_F_14,M_P_1,M_P_15
M_F_15,M_P_1,M_P_16
M_F_16,M_P_1,M_P_17
M_F_17,M_P_1,M_P_18
M_F_18,M_P_1,M_P_19
M_F_19,M_P_1,M_P_20
M_F_20,M_P_1,M_P_21
M_F_21,M_P_1,M_P_22
M_F_22,M_P_1,M_P_23
M_F_23,M_P_1,M_P_24
M_F_24,M_P_1,M_P_25
M_F_25,M_P_1,M_P_26
M_F_26,M_P_1,M_P_27
M_F_27,M_P_1,M_P_28
M_F_28,M_P_1,M_P_29
M_F_29,M_P_1,M_P_30
M_F_30,M_P_1,M_P_31
M_F_31,M_P_1,M_P_32
M_F_32,M_P_1,M_P_33
M_F_33,M_P_1,M_P_34
M_F_34,M_P_1,M_P_35
M_F_35,M_P_1,M_P_36
M_F_36,M_P_1,M_P_37
M_F_37,M_P_1,M_G_1
M_F_38,M_P_1,M_G_2
M_F_39,M_P_1,M_G_3
M_F_40,M_P_1,M_G_4
M_F_41,M_P_1,M_G_5
M_F_42,M_P_1,M_G_6
M_F_43,M_P_1,M_G_7
M_F_44,M_P_1,M_G_8
M_F_45,M_P_1,M_G_9
M_F_46,M_P_1,M_G_10
M_F_47,M_P_1,M_G_11
M_F_48,M_P_1,M_G_12
M_F_49,M_P_1,M_G_13
M_F_50,M_P_1,M_G_14
M_F_51,M_P_1,M_G_15
M_F_52,M_P_1,M_G_16
M_F_53,M_P_1,M_G_17
M_F_54,M_P_1,M_G_18
M_F_55,M_P_1,M_G_19
M_F_56,M_P_1,M_G_20
M_F_57,M_P_1,M_G_21
M_F_58,M_P_1,M_G_22
M_F_59,M_P_1,M_G_23
M_F_60,M_P_1,M_G_24
M_F_61,M_P_1,M_G_25
M_F_62,M_P_1,M_G_26
M_F_63,M_P_1,M_G_27
M_F_64,M_P_1,M_G_28
M_F_65,M_P_1,M_G_29
M_F_66,M_P_1,M_G_30
M_F_67,M_P_1,M_G_31
M_F_68,M_P_1,M_G_32
M_F_69,M_P_1,M_O_1
M_F_70,M_P_1,M_O_2
M_F_71,M_P_1,M_O_3
M_F_72,M_P_1,M_O_4
M_F_73,M_P_1,M_O_5
M_F_74,M_P_1,M_O_6
M_F_75,M_P_1,M_O_7
M_F_76,M_P_1,M_O_8
M_F_77,M_P_1,M_O_9
M_F_78,M_P_1,M_O_10
M_F_79,M_P_1,M_O_11
M_F_80,M_P_1,M_O_12
M_F_81,M_P_1,M_O_13
M_F_82,M_P_1,M_O_14
M_F_83,M_P_1,M_O_15
M_F_84,M_P_1,M_O_16
M_F_85,M_P_1,M_O_17
M_F_86,M_P_1,M_O_18
M_F_87,M_P_1,M_O_19
M_F_88,M_P_1,M_O_20
M_F_89,M_P_1,M_O_21
M_F_90,M_P_1,M_O_22
M_F_91,M_P_1,M_Y_1
M_F_92,M_P_1,M_Y_2
M_F_93,M_P_1,M_Y_3
M_F_94,M_P_1,M_Y_4
M_F_95,M_P_1,M_Y_5
M_F_96,M_P_1,M_Y_6
M_F_97,M_P_1,M_Y_7
M_F_98,M_P_1,M_Y_8
M_F_99,M_P_1,M_Y_9
M_F_100,M_P_1,M_Y_10
M_F_101,M_P_1,M_Y_11
M_F_102,M_P_1,M_Y_12
M_F_103,M_P_1,M_Y_13
M_F_104,M_P_1,M_Y_14
M_F_105,M_P_1,M_Y_15
M_F_106,M_P_1,M_Y_16
M_F_107,M_P_1,M_S_1
M_F_108,M_P_1,M_S_2
M_F_109,M_P_1,M_S_3
M_F_110,M_P_1,M_S_4
M_F_111,M_P_1,M_S_5
M_F_112,M_P_1,M_S_6
M_F_113,M_P_1,M_S_7
M_F_114,M_P_1,M_S_8
M_F_115,M_P_1,M_S_9
M_F_116,M_P_1,M_R_1
M_F_117,M_P_1,M_R_2
M_F_118,M_P_1,M_R_3
M_F_119,M_P_1,M_R_4
M_F_120,M_P_1,M_R_5
M_F_121,M_P_1,M_R_6
M_F_122,M_P_1,M_R_7
M_F_123,M_P_1,M_R_8
M_F_124,M_P_1,M_R_9
M_F_125,M_P_1,M_R_10
M_F_126,M_P_1,M_R_11
M_F_127,M_P_1,M_R_12
M_F_128,M_P_1,M_R_13
M_F_129,M_P_1,M_R_14
M_F_130,M_P_1,M_R_15
M_F_131,M_P_1,M_R_16
M_F_132,M_P_1,M_R_17
M_F_133,M_P_1,M_R_18
M_F_134,M_P_1,M_R_19
M_F_135,M_P_1,M_R_20
M_F_136,M_P_1,M_R_21
M_F_137,M_P_1,M_R_22
M_F_138,M_P_1,M_R_23
M_F_139,M_P_1,M_R_24
M_F_140,M_P_1,M_R_25
M_F_141,M_P_1,M_R_26
M_F_142,M_P_1,M_R_27
M_F_143,M_P_1,M_R_28
M_F_144,M_P_1,M_R_29
M_F_145,M_P_1,M_B_1
M_F_146,M_P_1,M_B_2
M_F_147,M_P_1,M_B_3
M_F_148,M_P_1,M_B_4
M_F_149,M_P_1,M_B_5
M_F_150,M_P_1,M_B_6
M_F_151,M_P_1,M_B_7
M_F_152,M_P_1,M_B_8
M_F_153,M_P_1,M_B_9
M_F_154,M_P_1,M_B_10
M_F_155,M_P_1,M_B_11
M_F_156,M_P_1,M_B_12
M_F_157,M_P_1,M_B_13
M_F_158,M_P_1,M_B_14
M_F_159,M_P_1,M_B_15
M_F_160,M_P_1,M_B_16
M_F_161,M_P_1,M_B_17
M_F_162,M_P_1,M_B_18
M_F_163,M_P_1,M_B_19
M_F_164,M_P_1,M_B_20
M_F_165,M_P_1,M_B_21
M_F_166,M_P_1,M_B_22
M_F_167,M_P_1,M_B_23
M_F_168,M_P_1,M_B_24
M_F_169,M_P_1,M_B_25
M_F_170,M_P_1,M_B_26
M_F_171,M_P_1,M_B_27
M_F_172,M_P_1,M_B_28
M_F_173,M_P_1,M_B_29
M_F_174,M_P_1,M_B_30
M_F_175,M_P_1,M_B_31
M_F_176,M_P_1,M_B_32
M_F_177,M_P_1,M_B_33
M_F_178,M_P_1,M_Pi_1
M_F_179,M_P_1,M_Pi_2
M_F_180,M_P_1,M_Pi_3
M_F_181,M_P_1,M_Pi_4
M_F_182,M_P_1,M_Pi_5
M_F_183,M_P_1,M_Pi_6
M_F_184,M_P_1,M_Pi_7
M_F_185,M_P_1,M_Pi_8
M_F_186,M_P_1,M_Pi_9
M_F_187,M_P_1,M_Pi_10
