stop_id,stop_name,stop_lat,stop_lon
M_P_1,Whitefield,12.99528018,77.75774769
M_P_2,Channasandra,12.98785702,77.75403778
M_P_3,Kadugodi,12.98564705,77.74691409
M_P_4,Pattandur Agrahara,12.98763237,77.73780403
M_P_5,Sadaramangala(Sri Sathya Sai Hospital),12.98106119,77.72761187
M_P_6,Nallurhalli,12.97670628,77.72479506
M_P_7,Kundalahalli,12.97739467,77.71630032
M_P_8,Sitharama Palya,12.98084665,77.70883844
M_P_9,Hoodi Junction,12.98875514,77.71131339
M_P_10,Garudacharpalya,12.99350455,77.70369899
M_P_11,Mahadevapura,12.99671242,77.69204982
M_P_12,KR Puram,12.99992302,77.67794918
M_P_13,Benniganahalli,12.99638241,77.66825998
M_P_14,Baiyappanahalli,12.990833,77.651944
M_P_15,Swami Vivekananda Road,12.985833,77.645
M_P_16,Indiranagar,12.978611,77.638889
M_P_17,Halasuru,12.975556,77.626389
M_P_18,Trinity,12.973056,77.616944
M_P_19,MG Road,12.975556,77.606944
M_P_20,Cubbon Park (Sri Chamarajendra Park),12.981095,77.59686
M_P_21,"Dr BR Ambedkar Station, Vidhana Soudha",12.979823,77.592745
M_P_22,Central College,12.974104,77.584017
M_P_23,Majestic,12.975692,77.572836
M_P_24,City Railway Station,12.975814,77.565708
M_P_25,Magadi Road,12.975578,77.55543
M_P_26,Hosahalli,12.974178,77.545538
M_P_27,Vijayanagara,12.970801,77.537285
M_P_28,Attiguppe,12.961957,77.533582
M_P_29,Deepanjali Nagara,12.952187,77.536939
M_P_30,Mysuru Road,12.946507,77.52978
M_P_31,Nayandahalli,12.9414,77.5186
M_P_32,Rajarajeshwari Nagara,12.936727,77.519582
M_P_33,Jnanabharathi,12.935556,77.512019
M_P_34,Pattanagere,12.924415,77.498256
M_P_35,Kengeri Bus Terminal,12.914898,77.487593
M_P_36,Kengeri,12.908,77.4765
M_P_37,Challaghatta,12.89648435,77.4605805
M_G_1,Madavara,13.05740291,77.47296032
M_G_2,Chikkabidarakallu,13.05250943,77.48781571
M_G_3,Manjunathanagar,13.05041859,77.49418591
M_G_4,Nagasandra,13.048041,77.500091
M_G_5,Dasarahalli,13.043567,77.512464
M_G_6,Jalahalli,13.039491,77.519703
M_G_7,Peenya Industry,13.036341,77.525465
M_G_8,Peenya,13.032921,77.533297
M_G_9,Goraguntepalya,13.02837,77.540753
M_G_10,Yeshwanthpur,13.023181,77.549942
M_G_11,Sandal Soap Factory,13.014707,77.553962
M_G_12,Mahalakshmi,13.008217,77.548821
M_G_13,Rajaji Nagar,13.000334,77.549701
M_G_14,Mahakavi Kuvempu Road,12.998456,77.556951
M_G_15,Srirampura,12.996508,77.563283
M_G_16,Sampige Road,12.990508,77.570729
M_G_17,Majestic,12.975692,77.572836
M_G_18,Chickpete,12.966759,77.574782
M_G_19,Krishna Rajendra Market,12.961353,77.574571
M_G_20,National College,12.950548,77.573712
M_G_21,Lalbagh Botanical Garden,12.946355,77.58005
M_G_22,South End Circle,12.93831893,77.58007626
M_G_23,Jayanagar,12.9296858,77.58018325
M_G_24,Rashtreeya Vidyalaya Road,12.921458,77.580375
M_G_25,Banashankari,12.915649,77.573631
M_G_26,Jaya Prakash Nagar,12.907299,77.573133
M_G_27,Yelachenahalli,12.895983,77.570159
M_G_28,Konankunte Cross,12.884741,77.552898
M_G_29,Doddakallasandra,12.884714,77.552846
M_G_30,Vajarahalli,12.877455,77.544594
