stop_id,stop_sequence,arrival_time,trip_id,departure_time
100,0,2025-01-09 04:59:50,1000,2025-01-09 04:59:50
101,1,2025-01-09 05:03:50,1000,2025-01-09 05:03:50
102,2,2025-01-09 05:06:50,1000,2025-01-09 05:06:50
103,3,2025-01-09 05:09:50,1000,2025-01-09 05:09:50
104,4,2025-01-09 05:13:50,1000,2025-01-09 05:13:50
105,5,2025-01-09 05:15:50,1000,2025-01-09 05:15:50
106,6,2025-01-09 05:16:50,1000,2025-01-09 05:16:50
107,7,2025-01-09 05:19:50,1000,2025-01-09 05:19:50
108,8,2025-01-09 05:21:50,1000,2025-01-09 05:21:50
109,9,2025-01-09 05:23:50,1000,2025-01-09 05:23:50
110,10,2025-01-09 05:25:50,1000,2025-01-09 05:25:50
111,11,2025-01-09 05:27:50,1000,2025-01-09 05:27:50
112,12,2025-01-09 05:29:50,1000,2025-01-09 05:29:50
113,13,2025-01-09 05:31:50,1000,2025-01-09 05:31:50
114,14,2025-01-09 05:33:50,1000,2025-01-09 05:33:50
115,15,2025-01-09 05:35:50,1000,2025-01-09 05:35:50
116,16,2025-01-09 05:37:50,1000,2025-01-09 05:37:50
117,17,2025-01-09 05:38:50,1000,2025-01-09 05:38:50
118,18,2025-01-09 05:40:50,1000,2025-01-09 05:40:50
119,19,2025-01-09 05:42:50,1000,2025-01-09 05:42:50
120,20,2025-01-09 05:44:50,1000,2025-01-09 05:44:50
121,21,2025-01-09 05:47:50,1000,2025-01-09 05:47:50
122,22,2025-01-09 05:49:50,1000,2025-01-09 05:49:50
123,23,2025-01-09 05:51:50,1000,2025-01-09 05:51:50
124,24,2025-01-09 05:54:50,1000,2025-01-09 05:54:50
125,25,2025-01-09 05:56:50,1000,2025-01-09 05:56:50
126,26,2025-01-09 05:59:50,1000,2025-01-09 05:59:50
127,27,2025-01-09 06:02:50,1000,2025-01-09 06:02:50
128,28,2025-01-09 06:04:50,1000,2025-01-09 06:04:50
129,29,2025-01-09 06:06:50,1000,2025-01-09 06:06:50
130,30,2025-01-09 06:08:50,1000,2025-01-09 06:08:50
131,31,2025-01-09 06:10:50,1000,2025-01-09 06:10:50
132,32,2025-01-09 06:11:50,1000,2025-01-09 06:11:50
133,33,2025-01-09 06:14:50,1000,2025-01-09 06:14:50
134,34,2025-01-09 06:16:50,1000,2025-01-09 06:16:50
135,35,2025-01-09 06:18:50,1000,2025-01-09 06:18:50
136,36,2025-01-09 06:20:50,1000,2025-01-09 06:20:50
100,0,2025-01-09 05:14:50,1001,2025-01-09 05:14:50
101,1,2025-01-09 05:18:50,1001,2025-01-09 05:18:50
102,2,2025-01-09 05:21:50,1001,2025-01-09 05:21:50
103,3,2025-01-09 05:24:50,1001,2025-01-09 05:24:50
104,4,2025-01-09 05:28:50,1001,2025-01-09 05:28:50
105,5,2025-01-09 05:30:50,1001,2025-01-09 05:30:50
106,6,2025-01-09 05:31:50,1001,2025-01-09 05:31:50
107,7,2025-01-09 05:34:50,1001,2025-01-09 05:34:50
108,8,2025-01-09 05:36:50,1001,2025-01-09 05:36:50
109,9,2025-01-09 05:38:50,1001,2025-01-09 05:38:50
110,10,2025-01-09 05:40:50,1001,2025-01-09 05:40:50
111,11,2025-01-09 05:42:50,1001,2025-01-09 05:42:50
112,12,2025-01-09 05:44:50,1001,2025-01-09 05:44:50
113,13,2025-01-09 05:46:50,1001,2025-01-09 05:46:50
114,14,2025-01-09 05:48:50,1001,2025-01-09 05:48:50
115,15,2025-01-09 05:50:50,1001,2025-01-09 05:50:50
116,16,2025-01-09 05:52:50,1001,2025-01-09 05:52:50
117,17,2025-01-09 05:53:50,1001,2025-01-09 05:53:50
118,18,2025-01-09 05:55:50,1001,2025-01-09 05:55:50
119,19,2025-01-09 05:57:50,1001,2025-01-09 05:57:50
120,20,2025-01-09 05:59:50,1001,2025-01-09 05:59:50
121,21,2025-01-09 06:02:50,1001,2025-01-09 06:02:50
122,22,2025-01-09 06:04:50,1001,2025-01-09 06:04:50
123,23,2025-01-09 06:06:50,1001,2025-01-09 06:06:50
124,24,2025-01-09 06:09:50,1001,2025-01-09 06:09:50
125,25,2025-01-09 06:11:50,1001,2025-01-09 06:11:50
126,26,2025-01-09 06:14:50,1001,2025-01-09 06:14:50
