stop_name,lat,lon
Silkboard,12.91778711,77.62307682
HSR Layout,12.91619156,77.63554151
Agara,12.92414998,77.65040966
Ibbalur,12.92109056,77.66676445
Bellandur,12.92829791,77.68204076
Kadubeesanahalli,12.94027516,77.69548494
Kodibisanahalli,12.94488284,77.69780901
Marathahalli,12.95674402,77.70095281
ISRO,12.9641885,77.7018671
Doddanekundi,12.97229958,77.69897442
DRDO Sports Complex,12.98469484,77.69118354
Sarasvathi Nagara (previously Mahadevapura),12.98994925,77.68819674
KR Puram,12.99992015,77.67794184
Kasturinagara,13.0038807,77.66308875
channasandra,13.01119601,77.66227334
Horamavu,13.01889539,77.65575325
HRBR Layout,13.02200393,77.64840377
Kalyan Nagara,13.02428378,77.64315288
HBR Layout,13.02743253,77.6332208
Nagawara,13.03992341,77.62428491
Veerannapalya,13.04119735,77.61571483
Kempapura,13.04361467,77.60091636
Hebbala,13.04218449,77.59376496
Kodigehalli,13.05692818,77.59392087
Jakkuru Cross,13.07991244,77.59299905
Yelahanka,13.11516514,77.60704533
Bagaluru Cross,13.12198553,77.61060774
Bettahalasuru,13.16121018,77.62666323
Doddajala,13.19740315,77.65545374
Trumpet junction,13.19997596,77.65934359
KIA west,13.19828642,77.66730577
Airport city,13.19816485,77.6798727
KIAL terminal,13.19782994,77.71234609
