stop_name,lat,lon
Madavara,13.05740291,77.47296032
Chikkabidarakallu,13.05250943,77.48781571
Manjunathanagar,13.05041859,77.49418591
Nagasandra,13.048041,77.500091
Dasarahalli,13.043567,77.512464
Jalahalli,13.039491,77.519703
Peenya Industry,13.036341,77.525465
Peenya,13.032921,77.533297
Goraguntepalya,13.02837,77.540753
Yeshwanthpur,13.023181,77.549942
Sandal Soap Factory,13.014707,77.553962
Mahalakshmi,13.008217,77.548821
Rajaji Nagar,13.000334,77.549701
Mahakavi Kuvempu Road,12.998456,77.556951
Srirampura,12.996508,77.563283
Sampige Road,12.990508,77.570729
Majestic,12.975692,77.572836
Chickpete,12.966759,77.574782
Krishna Rajendra Market,12.961353,77.574571
National College,12.950548,77.573712
Lalbagh Botanical Garden,12.946355,77.58005
South End Circle,12.93831893,77.58007626
Jayanagar,12.9296858,77.58018325
Rashtreeya Vidyalaya Road,12.921458,77.580375
Banashankari,12.915649,77.573631
Jaya Prakash Nagar,12.907299,77.573133
Yelachenahalli,12.895983,77.570159
Konankunte Cross,12.884741,77.552898
Doddakallasandra,12.884714,77.552846
Vajarahalli,12.877455,77.544594
Talaghattapura,12.871678,77.538758
Silk Institute,12.861858,77.530007
