stop_name,lat,lon
Jaya Prakash Nagara Phase 4,12.90724734,77.60052624
Jaya Prakash Nagara Phase 5,12.90626004,77.59016824
Jaya Prakash Nagara,12.90643312,77.5733911
Kadirenahalli Cross,12.91359829,77.56605761
Kamakya bus Depot,12.92365392,77.55406384
Hosakerahalli Cross,12.93025566,77.54354514
PES Institute of Technology,12.93551201,77.53596404
Mysuru Road,12.9450838,77.528483
Nagarbhavi Circle,12.95798266,77.51895017
Vinayaka Layout,12.96107278,77.51056387
Dr. Ambedkar Institute of Technology,12.96394947,77.5049836
Nagarbhavi BDA Complex,12.98027514,77.51085392
Sumanahalli Cross,12.98802087,77.51777266
Chowdeshwari Nagara,12.9994736,77.52427639
Freedom Fighters Cross,13.00978739,77.52707618
Kanteerava Studio,13.02367737,77.53326767
Peenya,13.03298655,77.5334711
Bahubhali Nagara,13.0489814,77.54754245
BEL Circle,13.04634098,77.55587345
Patelappa Layout,13.04749419,77.5758744
Hebbala,13.04304644,77.5863309
Kempapura,13.04375987,77.60084241
