stop_name,lat,lon
Kalena Agrahara (formerly Gottigere),12.87184575,77.59377286
Hulimavu,12.88094619,77.59576818
IIM-Bangalore,12.89528757,77.59951401
Jaya Prakash Nagara Phase 4,12.90724734,77.60052624
Jayadeva Hospital,12.91629662,77.59998127
Swagath Road Cross,12.92913691,77.60053357
Dairy Circle,12.9342414,77.60119221
Lakkasandra (foremerly Mico Industries),12.94955972,77.60304352
Langford Town,12.95584633,77.60537013
Rashtriya Military School (formerly Vellara Road),12.96474789,77.607026
MG Road,12.9755939,77.60666993
Shivaji Nagar,12.98344506,77.60204047
Cantonment,12.99398984,77.59802398
Pottery Town,13.00044297,77.60934346
Tannery Road,13.00970212,77.61409245
Venkateshpura,13.01751969,77.61789915
Kadugundanahalli (formerly Arabic College),13.0298425,77.62066698
Nagawara,13.03992341,77.62428491
