stop_name,lat,lon
Whitefield,12.99528018,77.75774769
Channasandra,12.98785702,77.75403778
Kadugodi,12.98564705,77.74691409
Pattandur Agrahara,12.98763237,77.73780403
Sadaramangala(Sri Sathya Sai Hospital),12.98106119,77.72761187
Nallurhalli,12.97670628,77.72479506
Kundalahalli,12.97739467,77.71630032
Sitharama Palya,12.98084665,77.70883844
Hoodi Junction,12.98875514,77.71131339
Garudacharpalya,12.99350455,77.70369899
Mahadevapura,12.99671242,77.69204982
KR Puram,12.99992302,77.67794918
Benniganahalli,12.99638241,77.66825998
Baiyappanahalli,12.990833,77.651944
Swami Vivekananda Road,12.985833,77.645
Indiranagar,12.978611,77.638889
Halasuru,12.975556,77.626389
Trinity,12.973056,77.616944
MG Road,12.975556,77.606944
Cubbon Park (Sri Chamarajendra Park),12.981095,77.59686
"Dr BR Ambedkar Station, Vidhana Soudha",12.979823,77.592745
Central College,12.974104,77.584017
Majestic,12.975692,77.572836
City Railway Station,12.975814,77.565708
Magadi Road,12.975578,77.55543
Hosahalli,12.974178,77.545538
Vijayanagara,12.970801,77.537285
Attiguppe,12.961957,77.533582
Deepanjali Nagara,12.952187,77.536939
Mysuru Road,12.946507,77.52978
Nayandahalli,12.9414,77.5186
Rajarajeshwari Nagara,12.936727,77.519582
Jnanabharathi,12.935556,77.512019
Pattanagere,12.924415,77.498256
Kengeri Bus Terminal,12.914898,77.487593
Kengeri,12.908,77.4765
Challaghatta,12.89648435,77.4605805
