stop_name,lat,lon
Kempapura,13.04363882,77.60083777
Veterinary College,13.02902213,77.5863971
Gangenahalli,13.02264004,77.58456715
Mekhri Circle,13.01340873,77.58410721
Palace Guttahalli,12.99901379,77.58425815
Cunningham Rd,12.98952739,77.58588535
Basaveshwara Circle,12.98503262,77.58859738
Central College,12.97331246,77.5812718
Town Hall,12.96409138,77.58556419
Wilson Garden,12.95125424,77.59146374
Nimhans,12.93999687,77.59771577
Dairy Circle,12.93713957,77.60242822
Sudduguntepalya,12.93474809,77.6097713
St John's Hospital,12.92931998,77.61634503
Koramangala,12.92693222,77.62247464
Jakkasandra,12.92518051,77.63550729
Agara,12.92471197,77.64955581
Ibbalur,12.92009515,77.66650129
Bellandur Gate,12.91778945,77.67174859
Kaikondrahalli,12.91111838,77.68366181
Doddakanalli Gate,12.9063848,77.69858894
Carmelaram,12.90367469,77.70371692
Ambedkar Nagar,12.90039584,77.71077253
Kodati,12.896714,77.72017119
Sulikunte,12.8936145,77.72668061
Muthanallur Crs,12.88740503,77.73863504
Dommasandra Circle,12.88310465,77.752964
Sompura,12.87140983,77.76660064
Sarjapura,12.86120495,77.78498589
