stop_name,lat,lon
Rashtreeya Vidyalaya Road,12.92171644,77.58024816
Ragigudda,12.91713461,77.58831349
Jayadeva Hospital,12.91707905,77.60010025
BTM Layout,12.9164283,77.60831483
Silkboard,12.91778711,77.62307682
Bommanahalli (formerly HSR Layout),12.91077518,77.62631852
Hongasandra (formerly Oxford College),12.90172899,77.6319859
Kudlu Gate (formerly Muneshwara Nagar),12.88990338,77.6391303
Singasandra (formerly Chikkabegur),12.88091122,77.64473677
Hosa Road (formerly Basapura Road),12.87098212,77.65221395
Beratena Agrahara (formerly Hosa Road),12.86389002,77.65778755
Electronic City,12.85623566,77.66374426
Infosys Foundation Konappana Agrahara (formerly Electronic City 2),12.84652023,77.67111764
Huskur Road,12.83926701,77.67723543
Hebbagodi (Hebbagodi Depot of 39.3 acres),12.82900325,77.68131857
Bommasandra,12.81936499,77.6883275
